"","id","course_name","credits"
"342","CHEM-L453","Introduction to Pharmacology and Toxicology Lab",3
"343","CHEM-500","Experiential Learning in Chemistry",3
"344","CHEM-503","Chemistry Or Biochemistry Internship",3
"345","CHEM-H503","Honors Chemistry or Biochemistry Internship",3
"346","CHEM-510","Independent Study",3
"347","CHEM-H510","Honors Independent Study",3
"348","CHIN-101","Elementary Chinese I",1
"349","CHIN-102","Elementary Chinese II",4
"350","Choose","one Creativity & Innovation course from those listed below:",3
"351","CI-102","The End of Global Poverty",1
"352","CI-H102","The End of Global Poverty",3
"353","CI-103","Sticking Your Neck Out- Inventing for Non-Engineers",3
"354","CI-106","Failing Successfully",3
"355","CI-H106","Failing Successfully",2
"356","CI-108","Designing the Next Best Thing",3
"357","CI-110","The Entrepreneur's Cocktail",1
"358","CI-112","Creating Problems: a New Solution for Sustainability",3
"359","CI-H112","Honors Creating Problems: a New Solution For Sustainability",2
"360","CI-114","Creating the Dream Team",1
"361","CI-115","Poetry Out Loud",3
"362","CI-116","Good to Great: Design YOUR Portal to the World",3
"363","CI-H119","SL-Honors Theatre at Work",3
"364","CI-120","Process to Value: The Power of Relationships",2
"365","CI-121","Catastrophe Management: From 9/11 to the Boston Marathon Bombings",3
"366","CI-122","Financial Creativity: You Are the Universe",3
"367","CI-129","Art & Innovation Practices",3
"368","CI-131","Off to the Future: Leadership Through Compromise",3
"369","CI-133","Franklin and the American Experiment",3
"370","CI-H133","Honors Franklin and the American Experiment",3
"371","CI-135","The Design of Everything",2
"372","CI-H139","Creating, Promoting, and Participating in the Literary Arts",3
"373","CI-141","The Creative Approach to Learning",3
"374","CI-143","Dreams, Demons, and Dynamic Artists Creative Nature",3
"375","CI-147","Seeing Double, Printmaking, the Art of Discovery, Experimentation and Process",3
"376","CI-149","SL-Creative Writing and Literacy",3
"377","CI-H149","SL-Creative Writing and Literacy",3
"378","CI-153","Branding and Visual Identity",3
"379","CI-157","Mindful Journal",3
"380","CI-159","Building a Better T",3
"381","CI-161","Making History: Public Memory in the Digital Age",3
"382","CI-H161","Making History: Public Memory in the Digital Age",3
"383","CI-163","A Course on Skepticism and Rationality",3
"384","CI-165","Chemistry Is Everywhere: Zig-Zagging to Success",3
"385","CI-H165","Honors Chemistry Is Everywhere: Zig- Zag",3
"386","CI-167","Public Health: A Need to Think Outside The Box",3
"387","CI-169","Riddles of Identity",1
"388","CI-171","What Is the Moral of This Story?",3
"389","CI-173","Imagining the Other",1
"390","CI-175","Creating Social Change: From Theory to Activism",3
"391","CI-H175","Honors Creating Social Change: From Theory to Activism",3
"392","CI-177","The Curious & Open-Hearted Historian",3
"393","CI-H177","Honors- the Curious & Open-Hearted Historian",3
"394","CI-179","Myths of Self-Making",3
"395","CI-181","Creating Change: Perspective Matters",3
"396","CI-H185","Honors City of Stories: Walking Tours of Boston's Past",3
"397","CI-187","Think Small: Change the World",1
"398","CI-189","The Extended Photo Essay",3
"399","CI-191","The Self in Society",3
"400","CI-193","Tackling Global Issues Creatively: Sustainable Development",3
"401","CI-195","Bilingualism at Play",3
"402","CJN-101","Introduction to Communication",3
"403","CJN-105","Principles of Oral Communication",3
"404","CJN-112","Journalism I",3
"405","CJN-114","Great Works of Journalism",3
"406","CJN-152","Visual Aesthetics",3
"407","CJN-212","Journalism II",3
"408","CJN-216","Intercultural Communication",3
"409","CJN-L218","Photojournalism",1
"410","CJN-220","Review Opinion and Writing",3
"411","CJN-222","Leadership and Communication",3
"412","CJN-225","World Cinema",3
"413","CJN-239","Media Law",3
"414","CJN-253","Broadcast Journalism",3
"415","CJN-255","Introduction to Media",3
"416","CJN-270","Speaking Across Cultures",1
"417","CJN-280","Business of Documentary",3
"418","CJN-281","Asian Popular Culture",3
"419","CJN-292","Film History: From Silent Cinema to the Modern Era",3
"420","CJN-293","Hong Kong Cinema",3
"421","CJN-2080","Drones for Filmmakers",3
"422","CJN-L2080","Drones for Filmmakers Lab",3
"423","CJN-2355","Production I",4
"424","CJN-301","Documentary Film and the Image of Conflict in the Middle East",3
"425","CJN-H301","Honors Documentary Film and the Image of Conflict in the Middle East",2
"426","CJN-303","Current Issues in Documentary",3
"427","CJN-315","Leadership, Communication and Mediation",3
"428","CJN-317","Copy Editing",3
"429","CJN-321","Research Methods in Communication",3
"430","CJN-335","Persuasion",4
"431","CJN-352","Visual and Global Contexts",3
"432","CJN-353","Broadcast Journalism II",3
"433","CJN-356","TV Studio Production",3
"434","CJN-357","Advanced Editing Skills",2
"435","CJN-358","Family Communication",1
"436","CJN-361","Television News Producing",3
"437","CJN-363","Online Journalism",3
"438","CJN-375","Organizational Communication",3
"439","CJN-381","Business of Media",3
"440","CJN-387","Media and Film Criticism",3
"441","CJN-3455","Production II",3
"442","CJN-400","Media Effects and Audiences",3
"443","CJN-401","Networked Culture",3
"444","CJN-403","Issues in Journalism",3
"445","CJN-415","Review Writing",3
"446","CJN-443","Advanced Reporting and Feature Writing",3
"447","CJN-466","Seminar in Media/Film",3
"448","CJN-470","Rhetoric and Global Context",3
"449","CJN-480","Investigative Journalism & Documentary",3
"450","CJN-481","Making the Short Film",3
"451","CJN-482","Cultural Theory and Practice",3
"452","CJN-483","Suffolk TV News",3
"453","CJN-490","News Magazine",3
"454","CJN-4455","Production III",3
"455","CJN-505","Communication and Journalism Practicum",3
"456","CJN-506","Honors Seminar",3
"457","CJN-507","Production Practicum",3
"458","CJN-510","Independent Study",3
"459","CJN-H510","Honors Independent Study",3
"460","CJN-H555","Senior Honors Thesis/Project",3
"461","CJU-134","Introduction to Criminal Justice",1
"462","CJU-204","Communities and Crime",3
"463","CJU-207","Police and Society",3
"464","CJU-210","Juvenile Justice",3
"465","CJU-211","Corrections and Punishment",3
"466","CJU-218","Crime and Law in Indian Country",3
"467","CJU-230","Bad Girls?",3
"468","CJU-231","Victims of Crime",3
"469","CJU-232","Street Gangs",1
"470","CJU-233","Pathways Through the Criminal Justice System",3
"471","CJU-236","Deviance and Social Control",4
"472","CJU-237","School to Prison Pipeline",3
"473","CJU-275","Women and Crime",3
"474","CJU-285","Terrorism and Counterterrorism",3
"475","CJU-302","Global Criminology",4
"476","CJU-304","Race, Crime, and Justice",1
"477","CJU-305","Crime and Mental Illness",2
"478","CJU-327","Special Topics in Criminal Justice",3
"479","CJU-331","Violence Against Women",3
"480","CJU-332","Restorative Justice",3
"481","CJU-333","Theories of Crime",3
"482","CJU-335","Crime Mapping",3
"483","CJU-338","White Collar Crime",3
"484","CJU-340","Licit/Lethal: America's Drug Problem",3
"485","CJU-341","International Drug Control Policy",1
"486","CJU-433","Senior Seminar in Criminal Justice",3
"487","CJU-483","Internship in Criminal Justice",3
"488","CJU-H510","Honors Independent Study",3
"489","CJU-H555","Senior Honors Project",3
"490","CMPSC-F107","Ants, Rumors and Gridlocks",3
"491","CMPSC-HF107","Honors Ants, Rumors & Gridlocks",1
"492","CMPSC-F120","Programming for the World Wide Web",1
"493","CMPSC-F124","Game Programming",1
"494","CMPSC-F131","Computer Science I",3
"495","CMPSC-F132","Computer Science II",1
"496","CMPSC-200","Introduction to Computer Science World",1
"497","CMPSC-201","Systems Programming",3
"498","CMPSC-F265","Data Structures & Algorithms",4
"499","CMPSC-310","Introduction to Data Science",3
"500","CMPSC-F331","Object Oriented Programming",4
"501","CMPSC-345","Software Engineering",3
"502","CMPSC-F353","Architecture of Computer Systems",2
"503","CMPSC-F355","Operating Systems",3
"504","CMPSC-F363","Intro to Database Systems",3
"505","CMPSC-F375","Introduction to Computer Networks",3
"506","CMPSC-400","Senior Project in Computer Science",3
"507","CMPSC-410","Special Topics in Computer Science",3
"508","CMPSC-510","Computer Science Independent Study",3
"509","CMPSC-511","Launching a Career in Computer Science",3
"510","CMPSC-501","Software Development Internship",3
"511","CMPSC-H510","Honors Computer Science Independent Study",3
"512","CMPSC-H555","Honors Senior Project in Computer Science",3
"513","EC-101","Applied Microeconomics",1
"514","EC-H101","Honors Applied Microeconomics",3
"515","EC-102","Global Macroeconomics",3
"516","EC-H102","Honors Global Macroeconomics",3
"517","EC-131","Environmental Economics",3
"518","EC-141","Development Economics",3
"519","EC-151","Economic & Human Geography",3
"520","EC-261","Behavioral Economics",3
"521","EC-311","Intermediate Micro Theory",3
"522","EC-312","Intermediate Macro Theory",3
"523","EC-402","Mathematical Economics",3
"524","EC-410","Urban Economics: Asian Megacities in Comparative Perspective",3
"525","EC-421","Public Finance",3
"526","EC-430","International Trade Theory & Policy",3
"527","EC-432","Managerial Economics",3
"528","EC-441","Analysis of Global Economics and Financial Data",3
"529","EC-442","International Monetary Economics",3
"530","EC-445","The Economics of the European Union",3
"531","EC-450","Applied Econometrics",3
"532","EC-H450","Honors Applied Econometrics",1
"533","EC-451","Economic Forecasting",3
"534","EC-460","Game Theory",1
"535","EC-480","Financial Economics",2
"536","EC-483","Money, Banking & Financial Markets",3
"537","EC-490","Senior Seminar in Economics",3
"538","EC-H490","Honors Senior Seminar in Economics",3
"539","EC-503","Internship in Economics",4
"540","EC-510","EC Independent Study",3
"541","EC-H510","Honors Independent Study",1
"542","EC-511","Professional Development in Economics",3
"543","EDUC-110","Introduction to Critical Issues in Education",2
"544","EDUC-202","Educational Psychology",3
"545","EDUC-205","SL-Community Tutoring Project",4
"546","EDUC-208","SL: College Access",3
"547","EDUC-210","Service Learning: Alternative Spring Break",1
"548","EDUC-214","SL-Introduction to Teaching",3
"549","EDUC-215","Service Learning Community Literacies",3
"550","EDUC-310","Culturally Sustaining Practices",3
"551","EDUC-315","Strategies for Working With Emergent English Learners",3
"552","EDUC-316","TESOL Practice",3
"553","EDUC-317","TESOL Experience",3
"554","EDUC-402","History & Philosophy of American Education",3
"555","EDUC-408","Youth Programming",3
"556","EDUC-414","Urban Schooling",1
"557","EDUC-424","Global Issues and Trends in Education",3
"558","EDUC-510","Independent Study",2
"559","ENG-113","World Drama I",3
"560","ENG-114","World Drama II",1
"561","ENG-120","Ireland to America (and Back Again): Irish & Irish-American",3
"562","ENG-123","Great Books of the World I",3
"563","ENG-124","Great Books of the World II",3
"564","ENG-130","Introduction to Literature",3
"565","ENG-H130","Honors Introduction to Literature",3
"566","ENG-135","World Literature in English",3
"567","ENG-H135","World Literature in English",3
"568","ENG-141","Studies in British Literature",3
"569","ENG-142","Studies in American Literature",3
"570","ENG-150","Mysteries",3
"571","ENG-151","Introduction to African-American Literature",4
"572","ENG-152","Horror Fiction",3
"573","ENG-153","Literature of War",3
"574","ENG-154","Bob Dylan and the Beat Generation",4
"575","ENG-H154","Honors Bob Dylan and the Beat Generation",4
"576","ENG-155","Young Adult Literature",3
"577","ENG-H155","Honors Young Adult Literature",3
"578","ENG-156","Immigrant Stories",3
"579","ENG-157","Poetry and Religion",3
"580","ENG-158","Nasty Women and Unruly Voices in American Literature",2
"581","ENG-H158","Honors Nasty Women and Unruly Voices in American Literature",3
"582","ENG-159","The Literature of London",3
"583","ENG-160","School Stories: Narratives of Power and Class",3
"584","ENG-161","Writing the American West",3
"585","ENG-162","Shakespeare From Stage to Screen",3
"586","ENG-163","Latinx Literature Today",4
"587","ENG-170","Narrative and Medicine",3
"588","ENG-H170","Honors Narrative and Medicine",2
"589","ENG-172","Sports & Literature",1
"590","ENG-212","Introduction to Creative Writing",1
"591","ENG-213","English Literature I",3
"592","ENG-214","English Literature II",3
"593","ENG-217","American Literature I",3
"594","ENG-218","American Literature II",3
"595","ENG-266","Mad Men: Reading Visual Narratives",4
"596","ENG-H266","Mad Men: Reading Visual Narratives",3
"597","ENG-291","Introduction to Teaching English",3
"598","ENG-301","Literary Criticism Seminar",3
"599","ENG-311","Medieval Literature Survey",3
"600","ENG-312","English Grammar and Usage",3
"601","ENG-316","Fifth Century Athens",1
"602","ENG-317","Classical Mythology",1
"603","ENG-320","Writing and Tutoring: Theory and Practice I",3
"604","ENG-321","Writing and Tutoring: Theory and Practice II",2
"605","ENG-324","Shakespeare's Comedies",3
"606","ENG-326","Shakespeare's Tragedies",3
"607","ENG-327","Studies in Shakespeare",3
"608","HST-336","Fifth-Century Athens",3
"609","ENG-340","Readings in Decadent Literature",3
"610","ENG-344","English Romantic Literature",3
