"","student_id","course_id","completion_date"
"122",76350,"ADI-S264",2021-04-03
"123",74850,"POLS-H533",2021-04-02
"124",69769,"SF-H197",2021-04-02
"125",13444,"PSYCH-247",2021-04-02
"126",51152,"ARH-H510",2021-04-02
"127",97258,"CJU-207",2021-04-02
"128",87225,"ARH-318",2021-04-02
"129",62964,"POLS-383",2021-04-01
"130",22991,"PHYS-L304",2021-04-01
"131",29185,"ALS-369",2021-03-31
"132",29150,"CJU-340",2021-03-31
"133",39025,"ALS-381",2021-03-31
"134",30359,"CJN-482",2021-03-31
"135",76350,"ALS-368",2021-03-31
"136",98947,"ENG-317",2021-03-30
"137",29185,"CAS-STLIT",2021-03-30
"138",99647,"UES-211",2021-03-30
"139",64917,"CJN-375",2021-03-30
"140",30038,"WRI-H103",2021-03-29
"141",14562,"PSYCH-321",2021-03-29
"142",88187,"POLS-201",2021-03-29
"143",92039,"SOC-308",2021-03-29
"144",46163,"CAS-PERSP",2021-03-28
"145",24856,"LAWU-471",2021-03-28
"146",43534,"CI-191",2021-03-27
"147",64795,"ENG-348",2021-03-27
"148",39193,"CHEM-510",2021-03-27
"149",30359,"BIO-357",2021-03-27
"150",68934,"POLS-H438",2021-03-26
"151",56094,"ENG-375",2021-03-26
"152",76413,"SPAN-410",2021-03-26
"153",41932,"POLS-311",2021-03-26
"154",54720,"PHYS-L151",2021-03-25
"155",98788,"LAWU-101",2021-03-24
"156",47461,"RAD-317",2021-03-24
"157",48621,"BIO-233",2021-03-24
"158",81957,"POLS-H225",2021-03-24
"159",29185,"MATH-312",2021-03-23
"160",66713,"MATH-432",2021-03-23
"161",69769,"SOC-301",2021-03-23
"162",77051,"CJN-387",2021-03-23
"163",76413,"BIO-262",2021-03-23
"164",82393,"POLS-H110",2021-03-23
"165",71409,"ENG-H158",2021-03-22
"166",64635,"RAD-206",2021-03-22
"167",22991,"PHIL-210",2021-03-22
"168",32664,"CJN-480",2021-03-22
"169",28901,"THETR-489",2021-03-22
"170",43534,"ENG-361",2021-03-21
"171",70923,"PHYS-L304",2021-03-21
"172",75918,"ADPR-257",2021-03-21
"173",77051,"SOC-334",2021-03-21
"174",71587,"ENG-172",2021-03-21
"175",38768,"ARH-316",2021-03-21
"176",41429,"POLS-121",2021-03-21
"177",62892,"UES-425",2021-03-21
"178",88187,"ENG-162",2021-03-20
"179",56089,"PHIL-H414",2021-03-20
"180",56089,"SF-189",2021-03-20
"181",46451,"ENG-426",2021-03-20
"182",29940,"HST-426",2021-03-19
"183",95820,"THETR-425",2021-03-19
"184",10446,"CJN-481",2021-03-19
"185",61414,"ENG-124",2021-03-18
"186",63416,"ARH-H555",2021-03-18
"187",91661,"BIO-501",2021-03-18
"188",45739,"SPAN-510",2021-03-18
"189",17589,"CJN-400",2021-03-18
"190",19721,"POLS-501",2021-03-17
"191",35855,"BIO-321",2021-03-16
"192",53188,"PSYCH-247",2021-03-16
"193",97013,"ALS-360",2021-03-16
"194",19721,"HST-296",2021-03-16
"195",38768,"SPAN-340",2021-03-16
"196",41429,"PHYS-112",2021-03-16
"197",91661,"THETR-329",2021-03-15
"198",51979,"HST-273",2021-03-15
"199",12893,"CJN-H555",2021-03-14
"200",38657,"PHYS-L381",2021-03-14
"201",93877,"MATH-285",2021-03-14
"202",99647,"ENG-344",2021-03-14
"203",30500,"ENG-376",2021-03-14
"204",80093,"PHIL-H229",2021-03-13
"205",80093,"ADG-S373",2021-03-13
"206",63888,"HST-149",2021-03-13
"207",56094,"PSYCH-500",2021-03-13
"208",38657,"POLS-389",2021-03-13
"209",74850,"CHEM-H428",2021-03-12
"210",80051,"RAD-415",2021-03-12
"211",78230,"ART-10",2021-03-12
"212",30359,"EDUC-408",2021-03-12
"213",46282,"ASL-102",2021-03-12
"214",56089,"CI-H177",2021-03-12
"215",69769,"CJN-321",2021-03-11
"216",82393,"UES-350",2021-03-11
"217",17589,"CJN-L2080",2021-03-11
"218",25648,"SPAN-305",2021-03-10
"219",40838,"MATH-123",2021-03-10
"220",64917,"ENG-344",2021-03-10
"221",57282,"UES-510",2021-03-09
"222",31500,"THETR-510",2021-03-09
"223",79067,"ALS-370",2021-03-09
"224",99352,"ADPR-4477",2021-03-09
"225",10446,"UES-255",2021-03-09
"226",24459,"ADF-S101",2021-03-08
"227",59472,"ADI-H510",2021-03-08
"228",69769,"PHIL-127",2021-03-08
"229",64795,"ADF-S152",2021-03-08
"230",18094,"CJN-L2080",2021-03-08
"231",15345,"CI-143",2021-03-08
"232",30038,"CAS-H520",2021-03-08
"233",91764,"MATH-165",2021-03-08
"234",39193,"THETR-H510",2021-03-08
"235",99722,"EC-H510",2021-03-08
"236",80243,"CAS-H221",2021-03-08
"237",70941,"CI-129",2021-03-07
"238",29940,"CJN-507",2021-03-07
"239",32948,"HST-288",2021-03-07
"240",83910,"ADFA-S241",2021-03-07
"241",30135,"ENG-162",2021-03-06
"242",66713,"ADFA-HS372",2021-03-06
"243",44209,"BIO-240",2021-03-06
"244",64635,"HST-256",2021-03-06
"245",39193,"CI-H177",2021-03-06
"246",33330,"CJU-331",2021-03-05
"247",30359,"POLS-526",2021-03-05
"248",38539,"BIO-274",2021-03-04
"249",30038,"CJN-356",2021-03-04
"250",68934,"CJU-341",2021-03-04
"251",30359,"ENG-316",2021-03-04
"252",62964,"ADG-224",2021-03-03
"253",74850,"WGS-115",2021-03-03
"254",36716,"HST-335",2021-03-03
"255",65247,"PHIL-318",2021-03-03
"256",56094,"ENG-388",2021-03-02
"257",82393,"UES-270",2021-03-02
"258",95820,"UES-H270",2021-03-02
"259",28901,"SOC-242",2021-03-02
"260",19293,"BIO-501",2021-03-01
"261",42812,"SOC-344",2021-03-01
"262",17872,"CJN-317",2021-03-01
"263",54582,"CJU-210",2021-03-01
"264",87753,"CHEM-LV211",2021-03-01
"265",89727,"CJN-505",2021-02-28
"266",59472,"ADI-S110",2021-02-28
"267",86994,"HST-357",2021-02-28
"268",51979,"MATH-285",2021-02-28
"269",32664,"CJN-387",2021-02-28
"270",95820,"SF-198",2021-02-28
"271",29185,"CJN-361",2021-02-27
"272",30135,"POLS-310",2021-02-27
"273",64795,"ARH-310",2021-02-27
"274",42355,"Choose",2021-02-27
"275",86716,"HST-483",2021-02-25
"276",97013,"ADI-S372",2021-02-25
"277",46163,"EDUC-208",2021-02-25
"278",93877,"SOC-308",2021-02-25
"279",83499,"CAS-510",2021-02-25
"280",24459,"POLS-467",2021-02-24
"281",40058,"CAS-292",2021-02-24
"282",76033,"EC-490",2021-02-24
"283",65617,"HST-396",2021-02-24
"284",93877,"HST-273",2021-02-24
"285",65247,"ADI-S107",2021-02-24
"286",53188,"RAD-L321",2021-02-23
"287",30500,"ADFA-S311",2021-02-23
"288",70941,"ENG-312",2021-02-22
"289",61535,"PSYCH-215",2021-02-22
"290",76946,"RAD-422",2021-02-22
"291",42621,"SOC-484",2021-02-22
"292",46163,"CJN-510",2021-02-22
"293",49128,"CI-157",2021-02-21
"294",43534,"CHEM-503",2021-02-20
"295",61414,"AS-H555",2021-02-20
"296",19989,"ADI-242",2021-02-20
"297",23069,"MATH-H555",2021-02-20
"298",80243,"CJN-481",2021-02-20
"299",30500,"FR-101",2021-02-20
"300",80093,"RAD-450",2021-02-19
"301",24544,"ENG-388",2021-02-19
"302",63888,"CI-195",2021-02-18
"303",98788,"PHIL-H314",2021-02-18
"304",15738,"CJN-216",2021-02-18
"305",71587,"ENG-153",2021-02-18
"306",38768,"PHIL-423",2021-02-18
"307",51979,"ADPR-217",2021-02-18
"308",84155,"ADG-S213",2021-02-18
"309",44209,"UES-115",2021-02-17
"310",13444,"BIO-114",2021-02-17
"311",30500,"UES-322",2021-02-17
"312",44859,"CHEM-L314",2021-02-16
"313",76510,"CJU-218",2021-02-16
"314",85232,"ADPR-219",2021-02-16
"315",77421,"PHIL-280",2021-02-16
"316",76413,"HST-356",2021-02-16
"317",22991,"ENG-320",2021-02-16
"318",64968,"LAWU-221",2021-02-16
"319",69769,"ADI-S304",2021-02-15
"320",74850,"CAS-L281",2021-02-14
"321",83910,"CI-169",2021-02-14
"322",89498,"PHIL-261",2021-02-14
"323",29185,"CI-173",2021-02-13
"324",97258,"POLS-467",2021-02-13
"325",76413,"ARH-406",2021-02-13
"326",10153,"CJN-480",2021-02-12
"327",10153,"PSYCH-336",2021-02-12
"328",18343,"PHIL-123",2021-02-12
"329",91204,"CHEM-LV111",2021-02-12
"330",93877,"CJU-304",2021-02-12
"331",51979,"ADPR-297",2021-02-12
"332",24856,"HST-130",2021-02-12
"333",76094,"ADPR-378",2021-02-11
"334",32948,"ENG-340",2021-02-11
"335",63194,"PHIL-261",2021-02-11
"336",76413,"CI-H161",2021-02-11
"337",47886,"SOC-484",2021-02-10
"338",97258,"MUH-211",2021-02-10
"339",12146,"EC-311",2021-02-10
"340",27576,"LAWU-H510",2021-02-09
"341",77051,"HST-484",2021-02-09
"342",23069,"ADPR-229",2021-02-09
"343",74114,"EC-445",2021-02-09
"344",70923,"ADPR-H506",2021-02-08
"345",56089,"PSYCH-H216",2021-02-08
"346",46451,"ADFA-S382",2021-02-08
"347",86994,"CHEM-111",2021-02-07
"348",19293,"ADG-S360",2021-02-07
"349",80243,"POLS-253",2021-02-07
"350",17872,"BIO-L254",2021-02-06
"351",51979,"SCI-173",2021-02-06
"352",60738,"SCI-H106",2021-02-06
"353",71608,"PHIL-414",2021-02-05
"354",30038,"POLS-H348",2021-02-05
"355",68934,"ADFA-S242",2021-02-05
"356",77051,"HST-227",2021-02-05
"357",10153,"MATH-511",2021-02-04
"358",97400,"EC-430",2021-02-04
"359",30038,"ALS-369",2021-02-04
"360",46163,"HST-H362",2021-02-04
"361",22991,"POLS-525",2021-02-04
"362",98788,"POLS-H120",2021-02-03
"363",76413,"ADPR-4477",2021-02-03
"364",23069,"RAD-L301",2021-02-03
"365",50335,"HST-256",2021-02-02
"366",35855,"PSYCH-314",2021-02-02
"367",44209,"SF-126",2021-02-02
"368",22991,"CJN-356",2021-02-02
"369",81536,"SCI-360",2021-02-01
"370",53742,"ARH-316",2021-02-01
"371",16460,"CMPSC-F355",2021-02-01
"372",46451,"CMPSC-345",2021-02-01
"373",67699,"SOC-344",2021-01-31
"374",61414,"MUH-211",2021-01-31
"375",68934,"ALS-378",2021-01-31
"376",11793,"CHIN-102",2021-01-31
"377",86716,"UES-321",2021-01-30
"378",56089,"BIO-360",2021-01-30
"379",55554,"CI-H133",2021-01-30
"380",62964,"CHEM-212",2021-01-29
"381",29150,"LAWU-355",2021-01-29
"382",90389,"CAS-261",2021-01-29
"383",88187,"SCI-288",2021-01-29
"384",62964,"ENG-142",2021-01-28
"385",76413,"CAS-301",2021-01-28
"386",82746,"HST-382",2021-01-27
"387",86942,"ADG-S330",2021-01-27
"388",10446,"ADF-S123",2021-01-27
"389",82746,"ENG-370",2021-01-26
"390",80975,"ENG-155",2021-01-26
"391",55554,"WGS-113",2021-01-26
"392",64917,"PHIL-211",2021-01-26
"393",29185,"CJU-341",2021-01-25
"394",24459,"POLS-538",2021-01-25
"395",88011,"EC-H450",2021-01-25
"396",53742,"RAD-415",2021-01-25
"397",25648,"ENG-H135",2021-01-25
"398",64635,"CI-167",2021-01-25
"399",39193,"LAWU-330",2021-01-25
"400",39025,"CI-H175",2021-01-24
"401",19293,"BIO-H511",2021-01-24
"402",65617,"ADI-S401",2021-01-24
"403",82393,"BIO-203",2021-01-24
"404",30500,"CJN-470",2021-01-24
"405",16218,"PHIL-510",2021-01-23
"406",99647,"UES-H270",2021-01-23
"407",41429,"UES-L108",2021-01-23
"408",46346,"ADI-242",2021-01-23
"409",29185,"ASL-102",2021-01-22
"410",86994,"ADPR-235",2021-01-22
"411",50335,"HST-227",2021-01-22
"412",18094,"SPAN-390",2021-01-22
"413",19989,"MATH-331",2021-01-22
"414",91764,"CJN-507",2021-01-22
"415",89498,"THETR-151",2021-01-22
"416",57390,"ADG-S206",2021-01-21
"417",69769,"ENG-214",2021-01-21
"418",65617,"BIO-501",2021-01-21
"419",51979,"SOC-244",2021-01-21
"420",76379,"POLS-121",2021-01-21
"421",92039,"ADPR-110",2021-01-21
"422",81536,"CAS-510",2021-01-20
"423",71409,"POLS-H505",2021-01-20
"424",41038,"ADPR-299",2021-01-20
"425",43534,"POLS-503",2021-01-19
"426",14192,"ENG-312",2021-01-19
"427",25648,"ART-S209",2021-01-19
"428",80975,"RAD-323",2021-01-19
"429",82393,"HST-335",2021-01-19
"430",99722,"CI-157",2021-01-19
"431",69769,"CJN-114",2021-01-18
"432",96234,"PHIL-250",2021-01-18
"433",69604,"ENG-326",2021-01-18
"434",60738,"EC-503",2021-01-18
"435",21343,"ENG-120",2021-01-17
"436",18094,"CJN-L218",2021-01-17
"437",91204,"PHIL-H314",2021-01-17
"438",46282,"SOC-330",2021-01-17
"439",99647,"ADFA-S371",2021-01-17
"440",30038,"PHIL-123",2021-01-16
"441",24544,"HST-256",2021-01-16
"442",76094,"LAWU-530",2021-01-15
"443",65564,"ENG-H154",2021-01-15
"444",77421,"RAD-476",2021-01-15
"445",30038,"MATH-130",2021-01-14
"446",64917,"UES-325",2021-01-14
"447",88940,"CHEM-H112",2021-01-13
"448",56094,"HST-396",2021-01-13
"449",70941,"BIO-H204",2021-01-12
"450",30038,"HST-335",2021-01-12
"451",24544,"EC-141",2021-01-12
"452",75918,"UES-L226",2021-01-12
"453",49128,"CJN-2355",2021-01-12
"454",91764,"ARAB-102",2021-01-12
"455",86790,"RAD-415",2021-01-12
"456",90389,"AMST-101",2021-01-12
"457",80051,"ENG-324",2021-01-11
"458",98788,"POLS-357",2021-01-11
"459",27820,"HST-381",2021-01-11
"460",38657,"ALS-374",2021-01-11
"461",51979,"HST-340",2021-01-11
"462",97071,"POLS-307",2021-01-10
"463",74850,"ADPR-437",2021-01-10
"464",78230,"HST-228",2021-01-10
"465",53742,"CJN-292",2021-01-10
"466",47886,"ARH-H555",2021-01-10
"467",39193,"BIO-225",2021-01-10
"468",30359,"SPAN-H510",2021-01-10
"469",30359,"BIO-321",2021-01-10
"470",99722,"WGS-325",2021-01-10
"471",76350,"ADI-244",2021-01-10
"472",24856,"PHIL-H515",2021-01-10
"473",21343,"RAD-L321",2021-01-09
"474",91764,"ADG-S311",2021-01-09
"475",93877,"ARH-316",2021-01-09
"476",49245,"PSYCH-H550",2021-01-09
"477",18343,"POLS-505",2021-01-08
"478",76094,"POLS-H533",2021-01-08
"479",78230,"CHEM-L331",2021-01-08
"480",71587,"ENG-151",2021-01-08
"481",39193,"PHIL-416",2021-01-08
"482",22991,"WGS-230",2021-01-08
"483",74850,"HST-356",2021-01-07
"484",80051,"ENG-429",2021-01-07
"485",78230,"POLS-H524",2021-01-07
"486",82746,"SOC-256",2021-01-07
"487",61236,"CJN-490",2021-01-07
"488",65617,"SCI-H106",2021-01-07
"489",17589,"ADG-S204",2021-01-07
"490",35855,"CAS-282",2021-01-06
"491",65617,"PSYCH-340",2021-01-06
"492",10153,"ENG-375",2021-01-05
"493",18343,"SCI-H109",2021-01-05
"494",40058,"CAS-282",2021-01-05
"495",42812,"CMPSC-H555",2021-01-05
"496",89727,"BIO-218",2021-01-04
"497",44859,"ALS-361",2021-01-04
"498",86994,"ADI-HS401",2021-01-04
"499",61535,"CJN-353",2021-01-04
"500",89498,"PSYCH-240",2021-01-04
"501",92039,"HST-228",2021-01-04
"502",14192,"KOR-101",2021-01-03
"503",80051,"CAS-H211",2021-01-03
"504",91204,"CJU-338",2021-01-03
"505",89498,"PSYCH-222",2021-01-03
"506",62964,"ADPR-H510",2021-01-02
"507",82746,"HST-236",2021-01-02
"508",60738,"POLS-383",2021-01-02
"509",89727,"ADG-S213",2021-01-01
"510",89727,"CI-H177",2021-01-01
"511",35855,"PHIL-211",2021-01-01
"512",44209,"ENG-163",2021-01-01
"513",51152,"CI-106",2021-01-01
"514",89727,"PHIL-127",2020-12-31
"515",53742,"BIO-L111",2020-12-31
"516",61414,"KOR-101",2020-12-31
"517",69604,"POLS-357",2020-12-31
"518",30500,"PHIL-H414",2020-12-31
"519",64917,"ENG-389",2020-12-31
"520",81957,"POLS-H120",2020-12-30
"521",45739,"ADPR-309",2020-12-30
"522",97400,"EC-451",2020-12-29
"523",97400,"CJN-375",2020-12-29
"524",64795,"CAS-251",2020-12-29
"525",76094,"PSYCH-H222",2020-12-29
"526",19293,"SCI-173",2020-12-29
"527",82746,"ADPR-435",2020-12-29
"528",19989,"MATH-134",2020-12-29
"529",67031,"CJN-358",2020-12-29
"530",65617,"PPE-H510",2020-12-29
"531",79067,"CI-115",2020-12-28
"532",38768,"PSYCH-326",2020-12-28
"533",47461,"WGS-H111",2020-12-27
"534",82393,"HST-121",2020-12-27
"535",24459,"ALS-363",2020-12-26
"536",97400,"PHYS-H533",2020-12-26
"537",30135,"BIO-H111",2020-12-26
"538",17872,"ARH-404",2020-12-26
"539",54720,"ADPR-339",2020-12-26
"540",81957,"ENG-141",2020-12-25
"541",91764,"SPAN-315",2020-12-25
"542",69769,"PSYCH-313",2020-12-24
"543",31500,"EC-432",2020-12-24
"544",54720,"POLS-H525",2020-12-24
"545",97400,"CI-H139",2020-12-23
"546",69769,"HST-358",2020-12-23
"547",27576,"HST-347",2020-12-23
"548",99722,"BIO-474",2020-12-23
"549",80243,"HST-292",2020-12-23
"550",14192,"ADPR-239",2020-12-22
"551",18343,"ADPR-3377",2020-12-22
"552",18343,"PSYCH-H216",2020-12-22
"553",46346,"HST-333",2020-12-22
"554",62964,"ADPR-335",2020-12-21
"555",81971,"PHIL-263",2020-12-21
"556",39025,"MATH-431",2020-12-21
"557",78230,"SPAN-340",2020-12-21
"558",53742,"THETR-191",2020-12-21
"559",65617,"PHIL-H414",2020-12-21
"560",76413,"HST-272",2020-12-21
"561",54582,"SCI-360",2020-12-21
"562",41038,"ADFA-S272",2020-12-20
"563",47461,"POLS-502",2020-12-20
"564",77051,"MATH-275",2020-12-20
"565",71587,"PHIL-H515",2020-12-20
"566",41429,"CJN-480",2020-12-20
"567",88187,"MUH-221",2020-12-20
"568",32092,"PHIL-113",2020-12-19
"569",49128,"POLS-005",2020-12-19
"570",16460,"ADPR-510",2020-12-19
"571",74850,"CHEM-LV212",2020-12-18
"572",32948,"POLS-393",2020-12-18
"573",16442,"PHYS-H555",2020-12-18
"574",90389,"FR-320",2020-12-18
"575",10153,"ARH-411",2020-12-17
"576",61535,"CI-147",2020-12-17
"577",36716,"ADG-S207",2020-12-17
"578",48621,"SCI-201",2020-12-17
"579",69604,"ART-S209",2020-12-17
"580",88187,"POLS-471",2020-12-17
"581",43534,"POLS-501",2020-12-16
"582",24459,"POLS-340",2020-12-16
"583",29150,"CMPSC-310",2020-12-16
"584",78230,"CMPSC-201",2020-12-16
"585",30038,"EC-432",2020-12-16
"586",17872,"POLS-H534",2020-12-16
"587",60738,"BIO-H503",2020-12-16
"588",62892,"CHEM-L355",2020-12-16
"589",89727,"WRI-100+",2020-12-15
"590",80093,"ADFA-HS510",2020-12-15
"591",30038,"HST-241",2020-12-15
"592",76379,"CJU-335",2020-12-15
"593",11793,"CHEM-H112",2020-12-15
"594",41474,"CAS-H510",2020-12-14
"595",29185,"AMST-101",2020-12-14
"596",99352,"CAS-292",2020-12-14
"597",32664,"ENG-395",2020-12-14
"598",30135,"ADI-S304",2020-12-13
"599",69769,"EDUC-214",2020-12-13
"600",30038,"POLS-469",2020-12-13
"601",30038,"ENG-371",2020-12-13
"602",82746,"HST-122",2020-12-13
"603",57282,"PHYS-112",2020-12-12
"604",97013,"AS-500",2020-12-12
"605",71587,"PHYS-111",2020-12-12
"606",46163,"POLS-555",2020-12-12
"607",16218,"UES-H555",2020-12-11
"608",65617,"PSYCH-216",2020-12-11
"609",80975,"ARH-H510",2020-12-11
"610",46451,"BIO-274",2020-12-11
"611",97071,"UES-320",2020-12-10
"612",80093,"SOC-273",2020-12-10
"613",65564,"BIO-111",2020-12-10
"614",30038,"BIO-H274",2020-12-10
"615",16460,"ADPR-360",2020-12-10
"616",28022,"RAD-420",2020-12-10
"617",30500,"SF-126",2020-12-10
"618",10446,"GCS-503",2020-12-10
"619",16218,"PHYS-477",2020-12-09
"620",62964,"SF-126",2020-12-09
"621",56070,"EDUC-316",2020-12-09
"622",27576,"LAWU-370",2020-12-09
"623",41932,"HST-239",2020-12-09
"624",97071,"CHIN-102",2020-12-08
"625",71608,"EDUC-408",2020-12-08
"626",40058,"WRI-101",2020-12-07
"627",36716,"EDUC-202",2020-12-07
"628",61414,"SOC-321",2020-12-07
"629",65247,"CJN-293",2020-12-07
"630",49245,"CJN-353",2020-12-07
"631",47886,"EC-451",2020-12-06
"632",69604,"HST-361",2020-12-06
"633",92039,"BIO-L333",2020-12-06
"634",28901,"PHIL-265",2020-12-06
"635",63888,"EC-H101",2020-12-05
"636",42621,"UES-500",2020-12-05
"637",49245,"HST-334",2020-12-05
"638",97071,"CJU-332",2020-12-04
"639",97071,"CJU-340",2020-12-04
"640",86994,"CJN-222",2020-12-04
"641",81536,"PHIL-403",2020-12-04
"642",32092,"BIO-474",2020-12-04
"643",56094,"ADPR-H457",2020-12-04
"644",76350,"CJN-415",2020-12-04
"645",92039,"LAWU-201",2020-12-04
"646",10153,"POLS-H348",2020-12-03
"647",27576,"HST-321",2020-12-03
"648",99647,"PHYS-153",2020-12-03
"649",83499,"SOC-H555",2020-12-03
"650",80093,"ADI-S110",2020-12-02
"651",86994,"EC-441",2020-12-02
"652",76946,"CJN-466",2020-12-02
"653",23069,"POLS-387",2020-12-02
"654",69769,"LAWU-375",2020-12-01
"655",53742,"THETR-187",2020-12-01
"656",36716,"CAS-555",2020-12-01
"657",48621,"UES-503",2020-12-01
"658",23069,"CI-135",2020-12-01
"659",84155,"POLS-510",2020-12-01
"660",97071,"MUH-210",2020-11-30
"661",18094,"ADFA-S271",2020-11-30
"662",80051,"CAS-291",2020-11-30
"663",70941,"MUH-227",2020-11-29
"664",18343,"ADPR-4478",2020-11-29
"665",30038,"PHIL-515",2020-11-29
"666",27820,"RAD-L312",2020-11-29
"667",38657,"SOC-348",2020-11-29
"668",99352,"SCI-113",2020-11-29
"669",84155,"ADI-S264",2020-11-29
"670",61236,"EC-151",2020-11-28
"671",97258,"THETR-221",2020-11-28
"672",67699,"CAS-251",2020-11-27
"673",61414,"HST-274",2020-11-27
"674",63416,"CAS-401",2020-11-27
"675",68934,"MATH-432",2020-11-27
"676",68934,"ADF-S156",2020-11-27
"677",87225,"ADI-S201",2020-11-27
"678",74114,"ENG-370",2020-11-27
"679",24856,"MATH-285",2020-11-27
"680",43534,"RAD-L315",2020-11-26
"681",35855,"ENG-391",2020-11-26
"682",81971,"PHIL-423",2020-11-26
"683",44209,"POLS-357",2020-11-26
"684",24544,"UES-321",2020-11-26
"685",76350,"POLS-505",2020-11-26
